"date","month","year","ind","maxtp","ind.1","mintp","igmin","gmin","ind.2","rain","cbl","wdsp","ind.3","hm","ind.4","ddhm","ind.5","hg","sun","glorad","soil","pe","evap","smd_wd","smd_md","smd_pd"
1,"jan",2012,0,10.9,0,4.1,0,4.1,0,5.7,997.7,17.2,0,26,0,270,0,38,NA,NA,7.925,1.1,1.3,0,-4.6,-10
2,"jan",2012,0,12.1,0,3.3,0,0,0,19.1,996,18.6,0,37,0,230,0,56,NA,NA,5.95,0.8,1.1,0,-10,-10
3,"jan",2012,0,12.8,0,4.8,0,4.7,0,5,1002,25.7,0,38,0,230,0,56,NA,NA,7.475,1,1.4,0,-4,-10
4,"jan",2012,0,10.9,0,7.6,0,4.4,0,3.6,1014.5,22.1,0,29,0,250,0,47,NA,NA,7.325,1.4,2,0,-2.2,-10
5,"jan",2012,0,11.2,0,6.9,0,8.4,0,2.5,1016.9,15.8,0,30,0,290,0,45,NA,NA,8.675,0.7,0.9,0,-1.8,-10
6,"jan",2012,0,11.5,0,8.2,0,1.8,0,3.4,1024.2,10.6,0,20,0,260,0,32,NA,NA,8.95,0.4,0.6,0,-3,-10
7,"jan",2012,0,10.9,0,9,0,7.2,0,0.2,1024.9,8.9,0,17,0,300,0,26,NA,NA,8.925,0.8,0.9,0.6,0.6,-8.9
8,"jan",2012,0,12.2,0,10.2,0,7.8,0,0.2,1025.9,9.1,0,17,0,220,0,27,NA,NA,9.8,0.7,0.8,1.1,1.1,-8
9,"jan",2012,0,11.3,0,8.4,0,8.1,0,3.8,1026.3,6.9,0,17,0,230,0,27,NA,NA,10.1,0.1,0.2,0,-2.6,-10
10,"jan",2012,0,11.4,0,9.8,0,6.2,0,6.1,1027.8,12.8,0,16,0,210,0,25,NA,NA,9.975,0.4,0.6,0,-5.7,-10
11,"jan",2012,0,11.2,0,10,0,9.8,0,3.9,1028.9,11.9,0,16,0,220,0,24,NA,NA,10.425,0.3,0.5,0,-3.6,-10
12,"jan",2012,0,10.9,0,9.6,0,8.9,0,2.6,1029.2,7,0,15,0,250,0,23,NA,NA,10.6,0.2,0.3,0,-2.4,-10
13,"jan",2012,0,10.2,0,7.2,0,2.9,0,0.6,1027.3,4.5,0,13,0,140,0,23,NA,NA,9.65,0.3,0.4,0,-0.3,-9.8
14,"jan",2012,0,10.5,0,8.2,0,5.9,0,0.3,1016,14.7,0,24,0,130,0,43,NA,NA,8.525,1.4,1.6,1.1,1.1,-8.2
15,"jan",2012,0,9.7,0,6.8,0,6.4,0,14.3,1010,11.3,0,22,0,130,0,37,NA,NA,8.1,0.9,1.1,0,-10,-10
16,"jan",2012,0,11.2,0,8,0,4.6,0,3.2,1013.5,10.4,0,16,0,140,0,26,NA,NA,8.1,0.7,0.9,0,-2.5,-10
17,"jan",2012,0,11.8,0,9.5,0,7.3,0,16,1014.8,11.4,0,18,0,150,0,30,NA,NA,9.6,0.5,0.6,0,-10,-10
18,"jan",2012,0,12.1,0,8.7,0,7.9,0,5.9,1018.2,5,0,16,0,260,0,23,NA,NA,10.45,0.2,0.3,0,-5.7,-10
19,"jan",2012,0,10.3,0,8.4,0,6.9,0,2.1,1021.8,13.7,0,23,0,290,0,34,NA,NA,9.125,1,1.2,0,-1.1,-10
20,"jan",2012,0,11.3,0,9.1,0,5.6,0,1.5,1023,13.7,0,19,0,280,0,29,NA,NA,9,0.8,1.1,0,-0.7,-10
21,"jan",2012,0,11.1,0,8.8,0,7.8,0,1.3,1018.7,15.8,0,21,0,300,0,32,NA,NA,9.625,0.8,1.1,0,-0.5,-10
22,"jan",2012,0,10.7,0,8.3,0,7.7,2,0,1018,10.1,0,20,0,300,0,28,NA,NA,9.15,0.9,1,0.9,0.9,-8.6
23,"jan",2012,0,11.1,0,8,0,5.5,0,4.1,1018.2,7.5,0,15,0,230,0,22,NA,NA,9.5,0.4,0.5,0,-2.8,-10
24,"jan",2012,0,11.5,0,9,0,9.9,0,3.7,1013.2,14.1,0,20,0,210,0,29,NA,NA,10.7,0.4,0.6,0,-3.3,-10
25,"jan",2012,0,11.4,0,4.2,0,9.2,0,14.3,1002.4,16.4,0,28,0,210,0,41,NA,NA,8.8,1.1,1.5,0,-10,-10
26,"jan",2012,0,8,0,3,0,0,0,11,1004.7,15.5,0,28,0,270,0,40,NA,NA,5.4,1.2,1.6,0,-9.8,-10
27,"jan",2012,0,8.6,0,3,0,2.4,0,2.3,1020.3,8.3,0,18,0,300,0,30,NA,NA,5.95,0.8,1,0,-1.5,-10
28,"jan",2012,0,9.6,0,2,0,2.1,0,6.9,1027.4,3.5,0,9,0,160,0,16,NA,NA,5.975,0.3,0.4,0,-6.6,-10
29,"jan",2012,0,12.1,0,8.9,0,8,0,0.6,1022.9,4.4,0,9,0,260,0,14,NA,NA,9,0.4,0.6,0,-0.2,-9.7
30,"jan",2012,0,10.8,0,5.4,0,7.2,0,11,1015.3,5.9,0,13,0,150,0,23,NA,NA,9.275,0.3,0.5,0,-10,-10
31,"jan",2012,0,8.9,0,2.9,1,-0.5,0,1.5,1018.9,5.7,0,12,0,100,0,26,NA,NA,7.575,0.6,0.8,0,-0.9,-10
1,"feb",2012,0,6.3,0,1.7,1,-1.4,3,0,1028.4,9.5,0,16,0,90,0,24,NA,NA,4.75,0.9,1.2,0.9,0.9,-8.6
2,"feb",2012,0,6.8,0,2.2,1,-2.9,0,0,1030.8,9.2,0,14,0,140,0,25,NA,NA,3.625,1.1,1.3,2,2,-7.1
3,"feb",2012,0,8.8,0,4.9,0,1.4,0,6.2,1030.8,8.2,0,13,0,150,0,22,NA,NA,5.275,0.9,1.1,0,-3.3,-10
4,"feb",2012,0,11,0,5.5,0,6.4,0,8,1026.6,8.8,0,17,0,230,0,25,NA,NA,7.6,0.6,0.8,0,-7.4,-10
5,"feb",2012,0,11.3,0,5.8,1,-1.2,0,3.7,1028.3,5.6,0,16,0,290,0,27,NA,NA,7.575,0.6,0.7,0,-3.1,-10
6,"feb",2012,0,11.6,0,6.8,0,6.4,0,0.2,1031.4,2.4,0,12,0,300,0,16,NA,NA,9.675,0.3,0.5,0.1,0.1,-9.4
7,"feb",2012,0,10.6,0,5.5,0,1.6,2,0,1030.8,9.2,0,17,0,140,0,25,NA,NA,8.4,0.7,1,0.9,0.9,-8.1
8,"feb",2012,0,10,0,8.1,0,7.7,0,7.6,1030.7,13.9,0,20,0,150,0,32,NA,NA,8.925,0.6,0.9,0,-6.1,-10
9,"feb",2012,0,11.8,0,9.1,0,8.2,0,5.1,1031.8,8.1,0,16,0,150,0,24,NA,NA,9.8,0.5,0.7,0,-4.6,-10
10,"feb",2012,0,12.9,0,6.5,0,7.8,0,0.3,1029.3,3,0,8,0,230,0,12,NA,NA,10.35,0.5,0.7,0.2,0.2,-9.3
11,"feb",2012,0,10.4,0,6.2,0,2.3,0,0.9,1029.6,2.5,0,8,0,330,0,11,NA,NA,9.35,0.4,0.6,0,-0.3,-9.3
12,"feb",2012,0,11.3,0,3.9,1,-1.6,3,0,1033.6,1.9,0,5,0,60,0,8,NA,NA,8.525,0.5,0.7,0.5,0.5,-8.4
13,"feb",2012,0,9.8,0,5.8,1,-1,2,0.2,1034.3,8.4,0,18,0,350,0,26,NA,NA,8.05,0.7,1,1,1,-7.5
14,"feb",2012,0,9.4,0,7.9,0,5.4,2,0,1034.3,10.7,0,17,0,350,0,29,NA,NA,8.25,1,1.3,1.9,1.9,-6.1
15,"feb",2012,0,9.7,0,7.9,0,6.9,2,0,1034.6,9.3,0,17,0,10,0,27,NA,NA,8.6,1,1.3,2.9,2.9,-4.8
16,"feb",2012,0,10.5,0,8.2,0,5,0,0.7,1029.9,9.2,0,15,0,270,0,21,NA,NA,8.7,0.9,1.2,3.1,3.1,-4.3
17,"feb",2012,0,11.4,0,8.3,0,9.1,0,2.3,1019.6,11.8,0,17,0,230,0,25,NA,NA,9.725,0.7,0.9,1.5,1.5,-5.7
18,"feb",2012,0,10,0,4.8,0,4.7,0,7.9,1014.7,14.7,0,22,0,320,0,32,NA,NA,8.25,1.1,1.6,0,-5.3,-10
19,"feb",2012,0,9.5,0,3.9,1,-3.1,0,0.5,1024.8,5.4,0,13,0,320,0,22,NA,NA,6.725,0.9,1.2,0.4,0.4,-9.1
20,"feb",2012,0,10.8,0,6.8,0,2.8,0,4.4,1023.3,14,0,17,0,200,0,26,NA,NA,8.15,0.8,1.2,0,-3.2,-10
21,"feb",2012,0,11.7,0,9.4,0,7.8,0,1.7,1017.7,13.3,0,21,0,200,0,31,NA,NA,9.9,0.7,1,0,-1,-10
22,"feb",2012,0,13.4,0,11.1,0,10.6,0,13.6,1014.8,15.6,0,26,0,200,0,38,NA,NA,11.575,0.7,1,0,-10,-10
23,"feb",2012,0,12.9,0,10.7,0,10.6,0,0.7,1020.9,10.4,0,15,0,220,0,24,NA,NA,11.65,0.6,0.9,0,-0.1,-9.6
24,"feb",2012,0,12.3,0,7.7,0,9.4,0,0.2,1024.8,6.4,0,15,0,220,0,22,NA,NA,11.75,0.6,0.9,0.4,0.4,-8.7
25,"feb",2012,0,11.7,0,5.1,0,0.5,2,0,1026.3,2.2,0,6,0,280,0,8,NA,NA,10.65,0.6,0.9,1.1,1.1,-7.6
26,"feb",2012,0,10.6,0,9.1,0,5.3,0,2.1,1023.6,7,0,13,0,210,0,19,NA,NA,10.7,0.5,0.8,0,-0.5,-8.8
27,"feb",2012,0,12.4,0,10,0,9.1,0,0.5,1021,8.5,0,13,0,230,0,19,NA,NA,10.95,0.6,0.9,0.1,0.1,-8.3
28,"feb",2012,0,11.6,0,9.1,0,8.7,0,0.3,1019,6.5,0,11,0,200,0,20,NA,NA,10.925,0.8,1.1,0.6,0.6,-7.3
